Seconds,PreviewFPS,PrivateMB,WorkingMB,ManagedMB,Handles
10.01,27.78,503.65,516.90,86.53,1302
20.03,28.24,487.47,500.73,84.25,1297
30.04,28.67,487.49,500.75,86.58,1294
40.05,28.26,487.75,493.34,88.93,1299
50.06,27.98,488.47,491.23,83.77,1297
60.08,28.45,488.44,486.04,86.03,1289
70.10,28.44,489.39,485.80,88.39,1289
80.11,28.16,491.77,488.14,90.65,1294
90.12,28.37,492.53,488.91,85.79,1289
100.13,28.47,492.60,488.97,88.05,1294
110.14,29.07,492.56,488.94,90.44,1289
120.17,28.24,492.54,488.94,85.58,1287
130.19,28.24,489.77,486.23,86.49,1292
140.21,28.94,489.77,486.24,88.85,1292
150.23,28.56,491.95,487.08,91.15,1293
160.24,27.96,492.42,486.75,87.23,1290
170.25,27.56,492.42,486.75,89.47,1290
180.26,28.27,492.44,486.78,91.82,1288
190.28,27.65,492.48,486.80,86.95,1293
200.30,28.04,492.44,486.78,89.22,1288
210.31,28.36,492.45,486.79,91.57,1286
220.33,28.07,492.53,486.85,93.82,1291
230.34,27.96,492.49,486.83,88.96,1286
240.35,28.86,492.50,486.84,91.25,1286
250.37,28.05,492.52,486.86,93.58,1286
260.38,28.07,492.54,486.87,88.74,1289
270.40,27.96,492.50,487.09,90.98,1284
280.42,28.04,492.57,484.71,93.31,1284
290.43,28.16,492.73,485.22,95.55,1293
300.44,27.67,507.61,499.81,87.76,1298
310.45,28.37,507.62,499.84,90.10,1298
320.47,28.14,507.55,499.75,92.36,1288
330.48,28.47,507.61,499.82,86.80,1288
340.50,28.55,509.17,500.69,89.07,1288
350.51,29.47,509.18,500.72,91.46,1294
360.53,28.84,509.21,500.75,93.74,1294
370.55,28.14,509.27,500.83,88.14,1294
380.57,28.56,509.28,500.84,90.51,1294
390.58,28.97,509.25,500.82,92.77,1288
400.60,28.45,509.38,500.93,87.19,1288
410.61,28.66,509.38,500.93,89.47,1288
420.62,28.27,509.39,500.93,91.81,1288
430.64,28.45,509.55,501.09,86.22,1289
440.66,28.35,509.51,501.07,88.47,1284
450.68,28.45,509.53,501.09,90.80,1284
460.70,29.34,509.48,501.12,87.97,1283
470.72,27.95,509.52,501.12,87.02,1283
480.73,28.67,509.46,501.07,89.30,1278
490.73,27.88,509.46,501.07,91.63,1278
500.75,28.44,509.90,501.46,86.49,1278
510.78,27.94,509.90,501.46,88.75,1278
520.79,28.66,509.91,501.47,91.11,1278
530.81,29.14,509.91,501.47,93.40,1278
540.83,28.74,509.97,501.51,87.82,1278
550.85,28.55,509.97,501.51,90.09,1278
560.87,27.85,509.98,501.52,92.43,1278
570.89,28.54,510.04,501.61,86.83,1278
580.92,28.63,510.04,501.59,89.10,1278
590.94,28.34,510.07,501.62,91.44,1280
600.01,28.66,510.07,501.62,93.52,1280
