Seconds,PreviewFPS,PrivateMB,WorkingMB,ManagedMB,Handles
10.01,27.97,563.77,563.31,118.79,1332
20.03,28.45,546.46,535.84,116.05,1329
30.05,27.44,546.40,535.83,118.29,1326
40.06,27.66,546.43,535.94,120.52,1326
50.27,25.58,547.12,536.48,122.83,1329
60.28,27.46,547.64,536.83,118.18,1329
70.30,28.06,547.59,536.81,120.53,1324
80.32,27.74,547.61,536.84,122.81,1324
90.33,26.27,531.79,523.16,116.85,1329
100.34,27.17,532.16,523.56,119.81,1329
110.35,27.66,551.26,542.76,138.64,1336
120.37,26.96,551.43,543.02,133.77,1329
130.38,25.98,551.48,543.14,135.89,1330
140.40,27.44,551.46,543.14,138.07,1325
150.41,26.66,553.68,544.62,133.36,1330
160.43,27.65,531.60,523.94,103.09,1324
170.44,28.46,548.00,538.60,117.73,1325
180.47,27.24,544.45,536.96,117.11,1320
190.49,28.23,544.45,536.98,119.20,1315
201.34,25.81,545.57,538.12,122.33,1315
211.49,27.30,547.08,539.63,117.30,1320
221.50,26.85,547.04,539.61,119.90,1315
231.53,27.83,547.60,539.58,122.14,1315
241.56,26.82,548.28,540.27,124.48,1315
251.58,27.64,548.77,540.80,119.72,1315
261.59,27.37,548.77,540.82,122.16,1315
271.60,27.77,548.80,540.86,124.45,1315
281.62,27.45,549.06,541.09,118.81,1315
291.64,27.63,549.16,541.50,121.05,1322
301.65,27.28,1192.35,916.36,147.13,1516
311.68,26.83,2860.03,1849.51,202.95,1532
321.69,26.45,2882.00,2111.60,182.12,1536
331.71,26.85,2840.66,2073.11,158.90,1531
341.72,27.87,2830.73,2064.62,159.64,1529
351.75,27.84,2840.91,2074.64,159.10,1528
361.75,26.88,2831.11,2065.50,160.55,1523
371.77,27.47,2839.11,2073.46,160.60,1523
381.77,27.18,2832.93,2067.54,159.07,1523
391.79,27.44,2834.31,2068.54,158.96,1528
401.81,27.76,2843.18,2077.55,158.97,1523
411.82,27.16,2843.18,2077.69,158.85,1523
421.83,27.27,2843.13,2077.68,159.41,1523
431.85,27.74,2839.77,2073.81,159.31,1525
441.88,27.13,2842.14,1849.59,162.38,1525
451.90,28.15,2842.06,1849.69,159.17,1517
461.92,27.24,2842.52,1693.30,161.22,1517
471.93,27.95,2844.50,1694.84,165.09,1517
481.95,28.46,2844.51,1694.87,159.87,1517
491.97,27.93,2844.51,1694.87,162.14,1517
501.99,25.74,2845.51,1695.95,164.29,1517
512.01,26.87,2844.70,1695.82,166.46,1517
522.02,26.26,2845.02,1697.02,161.01,1517
532.04,26.95,2845.02,1697.02,163.29,1517
542.06,27.55,2845.02,1697.02,165.52,1517
552.07,26.78,2845.28,1699.69,167.69,1517
562.08,27.28,2844.48,1699.09,161.60,1517
572.10,26.64,2833.22,1688.47,161.74,1517
582.12,26.85,2832.13,1686.21,164.02,1517
592.13,27.76,2843.64,1698.00,161.99,1523
600.00,25.91,2843.65,1698.11,163.69,1523
